,country,continent,year,lifeExp,pop,gdpPercap,cluster
104,Australia,Oceania,1982,74.74,15184200,19477.00928,0
105,Australia,Oceania,1983,75.55,15393500,19214.56115,0
106,Australia,Oceania,1984,76.02,15579400,20295.25294,0
107,Australia,Oceania,1985,75.46,15788300,21040.4946,0
108,Australia,Oceania,1986,76.13,16018350,21168.81051,0
109,Australia,Oceania,1987,76.32,16257249,21888.88903,0
110,Australia,Oceania,1988,76.36,16520206,22508.19078,0
111,Australia,Oceania,1989,76.46,16780235,23133.97635,0
112,Australia,Oceania,1990,77.06,17022133,23151.89034,0
113,Australia,Oceania,1991,77.55,17257526,22893.85675,0
114,Australia,Oceania,1992,77.56,17481977,23424.76683,0
115,Australia,Oceania,1993,78.1,17688687,24053.10102,0
116,Australia,Oceania,1994,78.1,17892557,24780.17241,0
117,Australia,Oceania,1995,78.49,18116171,25518.71544,0
118,Australia,Oceania,1996,78.56,18348078,26151.13247,0
119,Australia,Oceania,1997,78.83,18565243,26997.93657,0
120,Australia,Oceania,1998,79.33,18768789,28169.15341,0
121,Australia,Oceania,1999,79.58,18968247,28983.2672,0
122,Australia,Oceania,2000,79.99,19164620,29241.5145,0
123,Australia,Oceania,2001,80.35,19357594,30043.24277,0
124,Australia,Oceania,2002,80.37,19546792,30687.75473,0
125,Australia,Oceania,2003,80.78,19731984,31634.24243,0
126,Australia,Oceania,2004,81.15,19913144,32098.50615,0
127,Australia,Oceania,2007,81.235,20434176,34435.36744,0
128,Austria,Europe,1950,64.88,6935100,5733.098114,0
129,Austria,Europe,1951,65.26,6935451,6124.928282,0
130,Austria,Europe,1952,66.8,6927772,6137.076492,0
131,Austria,Europe,1953,67.29,6932483,6399.786948,0
132,Austria,Europe,1954,67.32,6940209,7045.971274,0
133,Austria,Europe,1955,67.6,6946885,7817.250888,0
134,Austria,Europe,1956,67.72,6952359,8348.449465,0
135,Austria,Europe,1957,67.48,6965860,8842.59803,0
136,Austria,Europe,1958,68.49,6987358,9137.296178,0
137,Austria,Europe,1959,68.42,7014331,9360.853847,0
138,Austria,Europe,1960,68.78,7047437,10083.83005,0
139,Austria,Europe,1961,69.75,7086299,10560.9654,0
140,Austria,Europe,1962,69.54,7129864,10750.72111,0
141,Austria,Europe,1963,69.67,7175811,11116.70439,0
142,Austria,Europe,1964,70.16,7223801,11705.63362,0
143,Austria,Europe,1965,69.95,7270889,11964.2821,0
144,Austria,Europe,1966,70.26,7322066,12549.33397,0
145,Austria,Europe,1967,70.14,7376998,12834.6024,0
146,Austria,Europe,1968,70.29,7415403,13335.55703,0
147,Austria,Europe,1969,70.06,7441055,14125.31596,0
148,Austria,Europe,1970,70.11,7467086,15078.76996,0
149,Austria,Europe,1971,70.31,7500482,15779.07374,0
150,Austria,Europe,1972,70.63,7544201,16661.6256,0
151,Austria,Europe,1973,71.21,7586115,17379.3273,0
152,Austria,Europe,1974,71.2,7599038,18033.975,0
153,Austria,Europe,1975,71.33,7578903,18016.36617,0
154,Austria,Europe,1976,71.82,7565525,18874.29543,0
155,Austria,Europe,1977,72.17,7568430,19749.4223,0
156,Austria,Europe,1978,72.25,7562305,19693.61751,0
157,Austria,Europe,1979,72.56,7549425,20803.39934,0
158,Austria,Europe,1980,72.7,7549433,21284.70833,0
159,Austria,Europe,1981,73.02,7564629,21220.8879,0
160,Austria,Europe,1982,73.18,7574613,21597.08362,0
161,Austria,Europe,1983,73.25,7552896,22266.66334,0
162,Austria,Europe,1984,73.79,7554132,22336.9462,0
163,Austria,Europe,1985,74.01,7559776,22821.20054,0
164,Austria,Europe,1986,74.49,7568242,23329.15536,0
165,Austria,Europe,1987,74.94,7578903,23687.82607,0
166,Austria,Europe,1988,75.41,7599791,24371.17769,0
167,Austria,Europe,1989,75.5,7627861,25307.87479,0
168,Austria,Europe,1990,75.77,7722953,26134.99521,0
169,Austria,Europe,1991,75.83,7818423,26744.39669,0
170,Austria,Europe,1992,76.04,7914969,27042.01868,0
171,Austria,Europe,1993,76.27,7988599,26882.04406,0
172,Austria,Europe,1994,76.6,8027540,27463.47863,0
173,Austria,Europe,1995,76.84,8047433,27918.81948,0
174,Austria,Europe,1996,77.1,8060852,28602.35254,0
175,Austria,Europe,1997,77.51,8069876,29095.92066,0
176,Austria,Europe,1998,77.88,8078622,30107.97838,0
177,Austria,Europe,1999,78.06,8094156,31039.61877,0
178,Austria,Europe,2000,78.35,8113413,32008.50466,0
179,Austria,Europe,2001,78.85,8131690,32196.42488,0
180,Austria,Europe,2002,78.98,8148312,32417.60769,0
181,Austria,Europe,2003,78.98,8162656,32741.18737,0
182,Austria,Europe,2004,79.49,8174762,33455.69403,0
183,Austria,Europe,2005,79.66,8184691,34108.0,0
184,Austria,Europe,2007,79.829,8199783,36126.4927,0
185,Azerbaijan,Asia,1992,65.623,7413618,3455.542969,2
186,Azerbaijan,Asia,1997,66.328,7695123,1943.285094,2
187,Azerbaijan,Asia,2002,66.844,7798497,3059.179927,0
188,Azerbaijan,Asia,2007,67.487,8017309,7708.61119,0
189,Bahamas,Americas,1962,64.209,122902,15117.51505,0
190,Bahamas,Americas,1967,65.795,151120,19318.1061,0
191,Bahamas,Americas,1972,66.515,178332,18152.43763,0
192,Bahamas,Americas,1977,67.199,197499,14380.66603,0
193,Bahamas,Americas,1982,67.874,219682,20433.0368,0
194,Bahamas,Americas,1987,69.524,244042,22438.01353,0
195,Bahamas,Americas,1992,69.171,264085,19432.56931,0
196,Bahamas,Americas,1997,68.472,281577,20990.83247,0
197,Bahamas,Americas,2002,71.068,295131,22810.96126,0
198,Bahamas,Americas,2007,73.495,305655,23948.63751,0
199,Bahrain,Asia,1952,50.939,120447,9867.084765,2
200,Bahrain,Asia,1957,53.832,138655,11635.79945,2
201,Bahrain,Asia,1962,56.923,171863,12753.27514,2
202,Bahrain,Asia,1967,59.923,202182,14804.6727,0
203,Bahrain,Asia,1972,63.3,230800,18268.65839,0
204,Bahrain,Asia,1977,65.593,297410,19340.10196,0
205,Bahrain,Asia,1982,69.052,377967,19211.14731,0
206,Bahrain,Asia,1987,70.75,454612,18524.02406,0
207,Bahrain,Asia,1992,72.601,529491,19035.57917,0
208,Bahrain,Asia,1997,73.925,598561,20292.01679,0
209,Bahrain,Asia,2002,74.795,656397,23403.55927,0
210,Bahrain,Asia,2007,75.635,708573,29796.04834,0
211,Bangladesh,Asia,1952,37.484,46886859,684.2441716,2
212,Bangladesh,Asia,1957,39.348,51365468,661.6374577,2
213,Bangladesh,Asia,1962,41.216,56839289,686.3415538,2
214,Bangladesh,Asia,1967,43.453,62821884,721.1860862,2
215,Bangladesh,Asia,1972,45.252,70759295,630.2336265,2
216,Bangladesh,Asia,1977,46.923,80428306,659.8772322,2
217,Bangladesh,Asia,1982,50.009,93074406,676.9818656,2
218,Bangladesh,Asia,1987,52.819,103764241,751.9794035,2
219,Bangladesh,Asia,1992,56.018,113704579,837.8101643,2
220,Bangladesh,Asia,1997,59.412,123315288,972.7700352,2
221,Bangladesh,Asia,2002,62.013,135656790,1136.39043,2
222,Bangladesh,Asia,2007,64.062,150448339,1391.253792,2
223,Barbados,Americas,1962,65.87,228747,6204.489468,0
224,Barbados,Americas,1967,67.62,238224,7788.544085,0
225,Barbados,Americas,1972,69.42,242445,9853.806374,0
226,Barbados,Americas,1977,71.27,249169,11817.35591,0
227,Barbados,Americas,1982,72.695,253522,12736.47247,0
228,Barbados,Americas,1987,74.027,259428,13783.20898,0
229,Barbados,Americas,1992,74.894,264925,12263.45331,0
230,Barbados,Americas,1997,74.912,270096,13901.90893,0
231,Barbados,Americas,2002,75.97,275673,14544.49305,0
232,Barbados,Americas,2007,77.296,280946,17023.10239,0
233,Belarus,FSU,1973,72.71,9236465,4958.608124,0
234,Belarus,FSU,1990,71.15,10215208,6807.781057,0
235,Belarus,FSU,1991,70.58,10244639,6693.1884,0
236,Belarus,FSU,1992,70.17,10306362,6014.406075,0
237,Belarus,FSU,1993,69.05,10360516,5528.263371,0
238,Belarus,FSU,1994,68.82,10387841,4868.615987,0
239,Belarus,FSU,1995,68.43,10403989,4355.509243,0
240,Belarus,FSU,1996,68.56,10408773,4475.405604,0
241,Belarus,FSU,1997,68.37,10404210,4987.788391,0
242,Belarus,FSU,1998,68.38,10394407,5411.861751,0
243,Belarus,FSU,1999,67.97,10382370,5602.352725,0
244,Belarus,FSU,2000,69.0,10366719,5936.237819,0
245,Belarus,FSU,2001,68.6,10350194,6225.164179,0
246,Belarus,FSU,2002,68.16,10335382,6545.789965,0
247,Belarus,FSU,2003,68.7,10322151,6999.864668,0
248,Belarus,FSU,2004,69.1,10310520,7806.724446,0
249,Belarus,FSU,2005,68.87,10300483,8541.0,0
250,Belarus,FSU,2007,69.027,10289007,10273.77418,0
251,Belgium,Europe,1950,66.35,8639369,7990.46584,0
252,Belgium,Europe,1951,66.8,8678386,8393.415992,0
253,Belgium,Europe,1952,68.0,8730405,8343.105127,0
254,Belgium,Europe,1953,68.37,8777873,8645.372292,0
255,Belgium,Europe,1954,68.63,8819380,8950.306725,0
256,Belgium,Europe,1955,68.58,8868475,9244.72546,0
257,Belgium,Europe,1956,68.87,8923845,9529.403593,0
258,Belgium,Europe,1957,69.24,8989111,9714.960623,0
259,Belgium,Europe,1958,69.93,9052707,9477.273558,0
260,Belgium,Europe,1959,70.33,9103729,9675.467689,0
261,Belgium,Europe,1960,69.65,9118700,10076.60249,0
262,Belgium,Europe,1961,70.52,9165800,10512.5111,0
263,Belgium,Europe,1962,70.25,9218400,10991.20676,0
264,Belgium,Europe,1963,70.06,9283100,11396.12839,0
265,Belgium,Europe,1964,70.73,9367000,12089.40942,0
266,Belgium,Europe,1965,70.58,9448100,12406.28806,0
267,Belgium,Europe,1966,70.65,9507800,12720.17707,0
268,Belgium,Europe,1967,70.94,9556500,13149.04119,0
269,Belgium,Europe,1968,70.63,9589800,13647.19609,0
270,Belgium,Europe,1969,70.71,9612700,14520.74226,0
271,Belgium,Europe,1970,70.97,9637800,15379.70523,0
272,Belgium,Europe,1971,71.1,9672500,15899.65951,0
273,Belgium,Europe,1972,71.44,9709100,16672.14356,0
274,Belgium,Europe,1973,71.65,9738400,17639.58142,0
275,Belgium,Europe,1974,72.01,9767800,18325.1694,0
276,Belgium,Europe,1975,72.0,9794800,18032.1155,0
277,Belgium,Europe,1976,72.15,9811000,19019.94462,0
278,Belgium,Europe,1977,72.8,9821800,19117.97448,0
279,Belgium,Europe,1978,72.75,9829700,19645.53784,0
280,Belgium,Europe,1979,73.24,9837200,20090.12043,0
281,Belgium,Europe,1980,73.29,9846800,20969.62311,0
282,Belgium,Europe,1981,73.7,9852400,20696.13378,0
283,Belgium,Europe,1982,73.93,9856303,20979.84589,0
284,Belgium,Europe,1983,73.93,9855520,20979.01253,0
285,Belgium,Europe,1984,74.43,9855300,21498.93801,0
286,Belgium,Europe,1985,74.54,9858200,21708.74541,0
287,Belgium,Europe,1986,74.74,9861800,22024.75308,0
288,Belgium,Europe,1987,75.35,9870200,22525.56308,0
289,Belgium,Europe,1988,75.66,9884000,23555.8201,0
290,Belgium,Europe,1989,75.73,9937697,24269.23182,0
291,Belgium,Europe,1990,76.14,9969310,24925.91,0
292,Belgium,Europe,1991,76.3,10004487,25293.57135,0
293,Belgium,Europe,1992,76.46,10045622,25575.57069,0
294,Belgium,Europe,1993,76.48,10085426,25229.59834,0
295,Belgium,Europe,1994,76.82,10122914,25947.30294,0
296,Belgium,Europe,1995,76.97,10155459,26480.94732,0
297,Belgium,Europe,1996,77.31,10178934,26725.49837,0
298,Belgium,Europe,1997,77.53,10199787,27561.19663,0
299,Belgium,Europe,1998,77.62,10217030,28030.61314,0
300,Belgium,Europe,1999,77.8,10235655,28937.1514,0
301,Belgium,Europe,2000,77.91,10263618,29940.2047,0
302,Belgium,Europe,2001,78.22,10291679,30092.07613,0
303,Belgium,Europe,2002,78.32,10311970,30485.88375,0
304,Belgium,Europe,2003,78.47,10330824,30736.5256,0
305,Belgium,Europe,2004,79.11,10348276,31600.01699,0
306,Belgium,Europe,2005,79.2,10364388,32077.0,0
307,Belgium,Europe,2007,79.441,10392226,33692.60508,0
308,Belize,Americas,1950,57.673,65797,1731.132728,2
309,Belize,Americas,1962,62.678,97594,1916.319613,2
310,Belize,Americas,1967,65.184,113265,2099.158522,2
311,Belize,Americas,1972,67.589,127661,2616.696579,0
312,Belize,Americas,1977,69.747,140578,3158.688003,0
313,Belize,Americas,1982,71.031,153277,3732.094919,0
314,Belize,Americas,1987,71.879,176347,3844.931896,0
315,Belize,Americas,1992,72.522,200798,5780.689094,0
316,Belize,Americas,1997,74.405,228884,5631.50107,0
317,Belize,Americas,2002,75.586,261138,6799.541995,0
318,Belize,Americas,2007,76.121,294385,7550.225543,0
319,Benin,Africa,1952,38.223,1738315,1062.7522,2
320,Benin,Africa,1957,40.358,1925173,959.6010805,2
321,Benin,Africa,1962,42.618,2151895,949.4990641,2
322,Benin,Africa,1967,44.885,2427334,1035.831411,2
323,Benin,Africa,1972,47.014,2761407,1085.796879,2
324,Benin,Africa,1977,49.19,3168267,1029.161251,2
325,Benin,Africa,1982,50.904,3641603,1277.897616,2
326,Benin,Africa,1987,52.337,4243788,1225.85601,2
327,Benin,Africa,1992,53.919,4981671,1191.207681,2
328,Benin,Africa,1997,54.777,6066080,1232.975292,2
329,Benin,Africa,2002,54.406,7026113,1372.877931,2
330,Benin,Africa,2007,56.728,8078314,1441.284873,2
331,Bhutan,Asia,1972,41.837,1087991,807.6225858,2
332,Bhutan,Asia,1977,44.708,1205659,816.3101525,2
333,Bhutan,Asia,1982,47.872,1333704,946.8129965,2
334,Bhutan,Asia,1987,50.717,1490857,1494.290085,2
335,Bhutan,Asia,1992,54.471,1673428,1904.17945,2
336,Bhutan,Asia,1997,58.929,1876236,2561.507659,2
337,Bhutan,Asia,2002,63.458,2094176,3256.019293,2
338,Bhutan,Asia,2007,65.625,2327849,4744.640019,0
339,Bolivia,Americas,1952,40.414,2883315,2677.326347,2
340,Bolivia,Americas,1957,41.89,3211738,2127.686326,2
341,Bolivia,Americas,1962,43.428,3593918,2180.972546,2
342,Bolivia,Americas,1967,45.032,4040665,2586.886053,2
343,Bolivia,Americas,1972,46.714,4565872,2980.331339,2
344,Bolivia,Americas,1977,50.023,5079716,3548.097832,2
345,Bolivia,Americas,1982,53.859,5642224,3156.510452,2
346,Bolivia,Americas,1987,57.251,6156369,2753.69149,2
347,Bolivia,Americas,1992,59.957,6893451,2961.699694,2
348,Bolivia,Americas,1997,62.05,7693188,3326.143191,2
349,Bolivia,Americas,2002,63.883,8445134,3413.26269,2
350,Bolivia,Americas,2007,65.554,9119152,3822.137084,2
351,Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,2
352,Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,2
353,Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,2
354,Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,2
355,Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,0
356,Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,0
357,Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,0
358,Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,0
359,Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,0
360,Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,0
361,Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,0
362,Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,0
363,Botswana,Africa,1952,47.622,442308,851.2411407,2
364,Botswana,Africa,1957,49.618,474639,918.2325349,2
365,Botswana,Africa,1962,51.52,512764,983.6539764,2
366,Botswana,Africa,1967,53.298,553541,1214.709294,2
367,Botswana,Africa,1972,56.024,619351,2263.611114,2
368,Botswana,Africa,1977,59.319,781472,3214.857818,2
369,Botswana,Africa,1982,61.484,970347,4551.14215,2
370,Botswana,Africa,1987,63.622,1151184,6205.88385,2
371,Botswana,Africa,1992,62.745,1342614,7954.111645,2
372,Botswana,Africa,1997,52.556,1536536,8647.142313,2
373,Botswana,Africa,2002,46.634,1630347,11003.60508,2
374,Botswana,Africa,2007,50.728,1639131,12569.85177,2
375,Brazil,Americas,1952,50.917,56602560,2108.944355,2
376,Brazil,Americas,1957,53.285,65551171,2487.365989,2
377,Brazil,Americas,1962,55.665,76039390,3336.585802,2
378,Brazil,Americas,1967,57.632,88049823,3429.864357,2
379,Brazil,Americas,1972,59.504,100840058,4985.711467,2
380,Brazil,Americas,1977,61.489,114313951,6660.118654,2
381,Brazil,Americas,1982,63.336,128962939,7030.835878,0
382,Brazil,Americas,1987,65.205,142938076,7807.095818,0
383,Brazil,Americas,1992,67.057,155975974,6950.283021,0
384,Brazil,Americas,1997,69.388,168546719,7957.980824,0
385,Brazil,Americas,2002,71.006,179914212,8131.212843,0
386,Brazil,Americas,2007,72.39,190010647,9065.800825,0
387,Brunei,Asia,1972,68.34,141500,54117.15906,0
388,Brunei,Asia,1977,69.66,167216,72555.22854,0
389,Brunei,Asia,1982,71.62,199468,62407.21057,0
390,Brunei,Asia,1987,73.2,235357,53585.90355,0
391,Brunei,Asia,1992,74.471,273701,49174.40543,0
392,Brunei,Asia,1997,75.465,313563,48967.3126,0
393,Brunei,Asia,2002,76.315,350898,48906.34894,0
394,Brunei,Asia,2007,77.118,386511,48014.58767,0
395,Bulgaria,Europe,1950,61.39,7250500,2131.563149,2
396,Bulgaria,Europe,1951,60.63,7258200,2567.424534,2
397,Bulgaria,Europe,1952,59.6,7274900,2444.286648,2
398,Bulgaria,Europe,1953,64.14,7346100,2691.935068,2
399,Bulgaria,Europe,1954,64.4,7423300,2613.983108,2
400,Bulgaria,Europe,1955,64.81,7499400,2772.894304,2
401,Bulgaria,Europe,1956,65.21,7575800,2747.377929,2
402,Bulgaria,Europe,1957,66.61,7651254,3008.670727,0
403,Bulgaria,Europe,1958,68.71,7727553,3238.108918,0
404,Bulgaria,Europe,1959,66.57,7797777,3464.569652,0
405,Bulgaria,Europe,1960,69.18,7867374,3759.16551,0
406,Bulgaria,Europe,1961,70.22,7943118,3966.093248,0
407,Bulgaria,Europe,1962,69.51,8012946,4254.337839,0
408,Bulgaria,Europe,1963,70.34,8078145,4412.810322,0
409,Bulgaria,Europe,1964,71.14,8144339,4721.863908,0
410,Bulgaria,Europe,1965,71.3,8201400,4970.48803,0
411,Bulgaria,Europe,1966,71.23,8258057,5325.953431,0
412,Bulgaria,Europe,1967,70.42,8310226,5577.0028,0
413,Bulgaria,Europe,1968,71.25,8369603,5639.346751,0
414,Bulgaria,Europe,1969,70.43,8434172,5868.78268,0
415,Bulgaria,Europe,1970,71.27,8489574,6162.468503,0
416,Bulgaria,Europe,1971,70.87,8536395,6328.504247,0
417,Bulgaria,Europe,1972,70.9,8576200,6597.494398,0
418,Bulgaria,Europe,1973,71.34,8620997,6822.385269,0
419,Bulgaria,Europe,1974,71.2,8678745,6989.571515,0
420,Bulgaria,Europe,1975,71.05,8720742,7527.863173,0
421,Bulgaria,Europe,1976,71.38,8755037,7722.871137,0
422,Bulgaria,Europe,1977,70.81,8797022,7612.240438,0
423,Bulgaria,Europe,1978,71.17,8803281,7771.118048,0
424,Bulgaria,Europe,1979,71.27,8811589,8062.600739,0
425,Bulgaria,Europe,1980,71.1,8843528,7802.845798,0
426,Bulgaria,Europe,1981,71.49,8869441,7987.015204,0
427,Bulgaria,Europe,1982,71.08,8892098,8224.191647,0
428,Bulgaria,Europe,1983,71.25,8910284,8052.372566,0
429,Bulgaria,Europe,1984,71.35,8928271,8301.979654,0
430,Bulgaria,Europe,1985,71.07,8943573,8037.950013,0
431,Bulgaria,Europe,1986,71.55,8958770,8236.461605,0
432,Bulgaria,Europe,1987,71.34,8971958,8239.854824,0
433,Bulgaria,Europe,1988,71.4,8982025,8179.010541,0
434,Bulgaria,Europe,1989,71.46,8990055,8025.266041,0
435,Bulgaria,Europe,1990,71.31,8894028,7225.877958,0
436,Bulgaria,Europe,1991,71.18,8772368,6710.698795,0
437,Bulgaria,Europe,1992,71.19,8658506,6302.623438,0
438,Bulgaria,Europe,1993,71.18,8441872,6367.39497,0
439,Bulgaria,Europe,1994,70.85,8353335,6550.710885,0
440,Bulgaria,Europe,1995,70.95,8255811,6820.307624,0
441,Bulgaria,Europe,1996,70.85,8161026,6250.966075,0
442,Bulgaria,Europe,1997,70.32,8066057,5970.38876,0
443,Bulgaria,Europe,1998,70.91,7971774,6282.641215,0
444,Bulgaria,Europe,1999,71.57,7893227,6491.099672,0
445,Bulgaria,Europe,2000,71.59,7818495,6907.013722,0
446,Bulgaria,Europe,2001,71.9,7738416,7264.607226,0
447,Bulgaria,Europe,2002,72.14,7661799,7696.777725,0
448,Bulgaria,Europe,2003,72.35,7588399,8105.388755,0
449,Bulgaria,Europe,2004,72.54,7517973,8721.228028,0
450,Bulgaria,Europe,2005,72.52,7450349,9353.0,0
451,Bulgaria,Europe,2007,73.005,7322858,10680.79282,0
452,Burkina Faso,Africa,1952,31.975,4469979,543.2552413,2
453,Burkina Faso,Africa,1957,34.906,4713416,617.1834648,2
454,Burkina Faso,Africa,1962,37.814,4919632,722.5120206,2
455,Burkina Faso,Africa,1967,40.697,5127935,794.8265597,2
456,Burkina Faso,Africa,1972,43.591,5433886,854.7359763,2
457,Burkina Faso,Africa,1977,46.137,5889574,743.3870368,2
458,Burkina Faso,Africa,1982,48.122,6634596,807.1985855,2
